en_name	sci_name	pl_name	notes
African Crake	Crecopsis egregia	derkacz kureczkowaty	Rare/Accidental
Sora	Porzana carolina	kureczka karolińska	Rare/Accidental
Spotted Crake	Porzana porzana	kropiatka	
Lesser Moorhen	Paragallinula angulata	kokoszka mała	Rare/Accidental
Eurasian Moorhen	Gallinula chloropus	kokoszka	
Common Gallinule	Gallinula galeata	kokoszka amerykańska	Rare/Accidental
Eurasian Coot	Fulica atra	łyska	
Red-knobbed Coot	Fulica cristata	łyska czubata	
American Coot	Fulica americana	łyska amerykańska	Rare/Accidental
Allen's Gallinule	Porphyrio alleni	sułtanka afrykańska	Rare/Accidental
Purple Gallinule	Porphyrio martinica	sułtanka amerykańska	Rare/Accidental
Western Swamphen	Porphyrio porphyrio	modrzyk (zwyczajny)	
African Swamphen	Porphyrio madagascariensis	modrzyk afrykański	Rare/Accidental
Gray-headed Swamphen	Porphyrio poliocephalus	modrzyk siwogłowy	Rare/Accidental
Watercock	Gallicrex cinerea	kokosznik	Rare/Accidental
Striped Crake	Aenigmatolimnas marginalis	bagiewnik kreskowany	Rare/Accidental
Little Crake	Zapornia parva	zielonka	
Baillon's Crake	Zapornia pusilla	karliczka	
Demoiselle Crane	Anthropoides virgo	żuraw stepowy	
Siberian Crane	Leucogeranus leucogeranus	żuraw biały	Critically endangered
Sandhill Crane	Antigone canadensis	żuraw kanadyjski	Rare/Accidental
Common Crane	Grus grus	żuraw	
Hooded Crane	Grus monacha	żuraw białogłowy	Rare/Accidental Vulnerable
Eurasian Thick-knee	Burhinus oedicnemus	kulon	
Egyptian Plover	Pluvianus aegyptius	pijawnik	Uncertain origin
Black-winged Stilt	Himantopus himantopus	szczudłak	
Pied Avocet	Recurvirostra avosetta	szablodziób	
American Avocet	Recurvirostra americana	szablodziób amerykański	Rare/Accidental
Eurasian Oystercatcher	Haematopus ostralegus	ostrygojad	Near-threatened
American Oystercatcher	Haematopus palliatus	ostrygojad brunatny	Rare/Accidental
Canarian Oystercatcher	Haematopus meadewaldoi	ostrygojad kanaryjski	Extinct
Black-bellied Plover	Pluvialis squatarola	siewnica	Vulnerable
European Golden-Plover	Pluvialis apricaria	siewka złota	
American Golden-Plover	Pluvialis dominica	siewka szara	Rare/Accidental
Pacific Golden-Plover	Pluvialis fulva	siewka złotawa	Rare/Accidental
Eurasian Dotterel	Eudromias morinellus	mornel	
Killdeer	Charadrius vociferus	sieweczka krzykliwa	Rare/Accidental Near-threatened
Common Ringed Plover	Charadrius hiaticula	sieweczka obrożna	
Semipalmated Plover	Charadrius semipalmatus	sieweczka skąpopłetwa	Rare/Accidental
Little Ringed Plover	Thinornis dubius	sieweczka rzeczna	
Northern Lapwing	Vanellus vanellus	czajka	Near-threatened
Spur-winged Lapwing	Vanellus spinosus	czajka szponiasta	
Gray-headed Lapwing	Vanellus cinereus	czajka szarogłowa	Rare/Accidental
Sociable Lapwing	Vanellus gregarius	czajka towarzyska	Rare/Accidental Critically endangered
White-tailed Lapwing	Vanellus leucurus	czajka stepowa	Rare/Accidental
Caspian Plover	Anarhynchus asiaticus	sieweczka długonoga	Rare/Accidental
Oriental Plover	Anarhynchus veredus	sieweczka stepowa	Rare/Accidental
Siberian Sand-Plover	Anarhynchus mongolus	sieweczka syberyjska	Endangered
Tibetan Sand-Plover	Anarhynchus atrifrons	sieweczka himalajska	
Greater Sand-Plover	Anarhynchus leschenaultii	sieweczka pustynna	
Kittlitz's Plover	Anarhynchus pecuarius	sieweczka piaskowa	Rare/Accidental
Snowy Plover	Anarhynchus nivosus	sieweczka jasna	Near-threatened
Kentish Plover	Anarhynchus alexandrinus	sieweczka morska	
Greater Painted-Snipe	Rostratula benghalensis	złotosłonka bengalska	
Upland Sandpiper	Bartramia longicauda	preriowiec	Rare/Accidental
Whimbrel	Numenius phaeopus	kulik mniejszy	
Little Curlew	Numenius minutus	kulik krótkodzioby	Rare/Accidental
Eskimo Curlew	Numenius borealis	kulik eskimoski	Rare/Accidental Critically endangered (possibly extinct)
Slender-billed Curlew	Numenius tenuirostris	kulik cienkodzioby	Rare/Accidental Critically endangered
Eurasian Curlew	Numenius arquata	kulik wielki	Near-threatened
Bar-tailed Godwit	Limosa lapponica	szlamnik	Near-threatened
Black-tailed Godwit	Limosa limosa	rycyk	Near-threatened
Hudsonian Godwit	Limosa haemastica	szlamnik amerykański	Rare/Accidental Vulnerable
Short-billed Dowitcher	Limnodromus griseus	szlamiec krótkodzioby	Rare/Accidental Vulnerable
Long-billed Dowitcher	Limnodromus scolopaceus	szlamiec długodzioby	Rare/Accidental Near-threatened
Jack Snipe	Lymnocryptes minimus	bekasik	
American Woodcock	Scolopax minor	słonka amerykańska	Rare/Accidental
Eurasian Woodcock	Scolopax rusticola	słonka	
Great Snipe	Gallinago media	dubelt	Near-threatened
Swinhoe's Snipe	Gallinago megala	bekas leśny	Rare/Accidental
Pin-tailed Snipe	Gallinago stenura	bekas syberyjski	Rare/Accidental
Common Snipe	Gallinago gallinago	kszyk	
Wilson's Snipe	Gallinago delicata	bekas amerykański	Rare/Accidental
Wilson's Phalarope	Phalaropus tricolor	płatkonóg trójbarwny	Rare/Accidental
Red Phalarope	Phalaropus fulicarius	płatkonóg płaskodzioby	
Red-necked Phalarope	Phalaropus lobatus	płatkonóg szydłodzioby	
Terek Sandpiper	Xenus cinereus	terekia	
Common Sandpiper	Actitis hypoleucos	brodziec piskliwy	
Spotted Sandpiper	Actitis macularius	brodziec plamisty	Rare/Accidental
Green Sandpiper	Tringa ochropus	samotnik	
Solitary Sandpiper	Tringa solitaria	brodziec ciemnorzytny	Rare/Accidental
Gray-tailed Tattler	Tringa brevipes	brodziec szary	Rare/Accidental
Marsh Sandpiper	Tringa stagnatilis	brodziec pławny	
Wood Sandpiper	Tringa glareola	łęczak	
Common Redshank	Tringa totanus	krwawodziób	
Lesser Yellowlegs	Tringa flavipes	brodziec żółtonogi	Rare/Accidental Vulnerable
Willet	Tringa semipalmata	błotowiec (nadmorski)	Rare/Accidental
Spotted Redshank	Tringa erythropus	brodziec śniady	
Common Greenshank	Tringa nebularia	kwokacz	
Greater Yellowlegs	Tringa melanoleuca	brodziec piegowaty	Rare/Accidental Near-threatened
Ruddy Turnstone	Arenaria interpres	kamusznik	Near-threatened
Great Knot	Calidris tenuirostris	biegus wielki	Rare/Accidental Endangered
Red Knot	Calidris canutus	biegus rdzawy	Near-threatened
Ruff	Calidris pugnax	batalion	
Broad-billed Sandpiper	Calidris falcinellus	biegus płaskodzioby	Vulnerable
Sharp-tailed Sandpiper	Calidris acuminata	biegus ostrosterny	Rare/Accidental Vulnerable
Curlew Sandpiper	Calidris ferruginea	biegus krzywodzioby	Vulnerable
Stilt Sandpiper	Calidris himantopus	biegus brodźcowaty	Rare/Accidental Near-threatened
Temminck's Stint	Calidris temminckii	biegus mały	
Long-toed Stint	Calidris subminuta	biegus smukłonogi	Rare/Accidental
Red-necked Stint	Calidris ruficollis	biegus rdzawoszyi	Rare/Accidental Near-threatened
Spoon-billed Sandpiper	Calidris pygmaea	biegus łyżkodzioby	Rare/Accidental Critically endangered
Buff-breasted Sandpiper	Calidris subruficollis	biegus płowy	Rare/Accidental Vulnerable
Sanderling	Calidris alba	piaskowiec	
Dunlin	Calidris alpina	biegus zmienny	Near-threatened
Purple Sandpiper	Calidris maritima	biegus morski	
Baird's Sandpiper	Calidris bairdii	biegus długoskrzydły	Rare/Accidental
Little Stint	Calidris minuta	biegus malutki	
White-rumped Sandpiper	Calidris fuscicollis	biegus białorzytny	Rare/Accidental Vulnerable
Least Sandpiper	Calidris minutilla	biegus karłowaty	Rare/Accidental Near-threatened
Pectoral Sandpiper	Calidris melanotos	biegus arktyczny	Rare/Accidental
Western Sandpiper	Calidris mauri	biegus alaskański	Rare/Accidental
Semipalmated Sandpiper	Calidris pusilla	biegus tundrowy	Rare/Accidental Near-threatened
Small Buttonquail	Turnix sylvaticus	przepiórnik	
Cream-colored Courser	Cursorius cursor	rączak	
Collared Pratincole	Glareola pratincola	żwirowiec łąkowy	
Black-winged Pratincole	Glareola nordmanni	żwirowiec stepowy	Near-threatened
Oriental Pratincole	Glareola maldivarum	żwirowiec orientalny	Rare/Accidental
Long-tailed Jaeger	Stercorarius longicaudus	wydrzyk długosterny	
Parasitic Jaeger	Stercorarius parasiticus	wydrzyk ostrosterny	
Pomarine Jaeger	Stercorarius pomarinus	wydrzyk tęposterny	
Great Skua	Stercorarius skua	wydrzyk wielki	
South Polar Skua	Stercorarius maccormicki	wydrzyk antarktyczny	Rare/Accidental
Tufted Puffin	Fratercula cirrhata	maskonur złotoczuby	Rare/Accidental
Atlantic Puffin	Fratercula arctica	maskonur	Vulnerable
Horned Puffin	Fratercula corniculata	maskonur pacyficzny	Rare/Accidental
Crested Auklet	Aethia cristatella	nurniczek czubaty	Rare/Accidental
Parakeet Auklet	Aethia psittacula	nurniczek krasnodzioby	Rare/Accidental
Long-billed Murrelet	Brachyramphus perdix	morzyk kamczacki	Rare/Accidental Near-threatened
Black Guillemot	Cepphus grylle	nurnik	
Spectacled Guillemot	Cepphus carbo	nurnik ochocki	
Pigeon Guillemot	Cepphus columba	nurnik aleucki	
Razorbill	Alca torda	alka	
Great Auk	Pinguinus impennis	alka olbrzymia	Rare/Accidental Extinct
Dovekie	Alle alle	alczyk	
Thick-billed Murre	Uria lomvia	nurzyk polarny	
Common Murre	Uria aalge	nurzyk	
Ancient Murrelet	Synthliboramphus antiquus	morzyk sędziwy	Rare/Accidental
Little Gull	Hydrocoloeus minutus	mewa mała	
Ross's Gull	Rhodostethia rosea	mewa różowa	
Black-legged Kittiwake	Rissa tridactyla	mewa trójpalczasta	Vulnerable
Ivory Gull	Pagophila eburnea	mewa modrodzioba	Rare/Accidental Near-threatened
Sabine's Gull	Xema sabini	mewa obrożna	
Slender-billed Gull	Chroicocephalus genei	mewa cienkodzioba	Rare/Accidental
Bonaparte's Gull	Chroicocephalus philadelphia	mewa kanadyjska	Rare/Accidental
Black-headed Gull	Chroicocephalus ridibundus	śmieszka	
Gray-hooded Gull	Chroicocephalus cirrocephalus	mewa szarogłowa	Rare/Accidental
Laughing Gull	Leucophaeus atricilla	mewa karaibska	Rare/Accidental
Franklin's Gull	Leucophaeus pipixcan	mewa preriowa	Rare/Accidental
Pallas's Gull	Ichthyaetus ichthyaetus	orlica	Rare/Accidental
Relict Gull	Ichthyaetus relictus	mewa reliktowa	Rare/Accidental Vulnerable
Audouin's Gull	Ichthyaetus audouinii	mewa śródziemnomorska	Vulnerable
Mediterranean Gull	Ichthyaetus melanocephalus	mewa czarnogłowa	
White-eyed Gull	Ichthyaetus leucophthalmus	mewa białooka	Rare/Accidental
Black-tailed Gull	Larus crassirostris	mewa japońska	Rare/Accidental
Common Gull	Larus canus	mewa siwa	
Short-billed Gull	Larus brachyrhynchus	mewa alaskańska	
Ring-billed Gull	Larus delawarensis	mewa delawarska	Rare/Accidental
Caspian Gull	Larus cachinnans	mewa białogłowa	
Kelp Gull	Larus dominicanus	mewa południowa	Rare/Accidental
American Herring Gull	Larus smithsonianus	mewa popielata	
Vega Gull	Larus vegae	mewa tundrowa	Rare/Accidental
European Herring Gull	Larus argentatus	mewa srebrzysta	
Yellow-legged Gull	Larus michahellis	mewa romańska	
Armenian Gull	Larus armenicus	mewa armeńska	
Great Black-backed Gull	Larus marinus	mewa siodłata	
Glaucous Gull	Larus hyperboreus	mewa blada	
Lesser Black-backed Gull	Larus fuscus	mewa żółtonoga	
Glaucous-winged Gull	Larus glaucescens	mewa lodowa	Rare/Accidental
Slaty-backed Gull	Larus schistisagus	mewa ochocka	Rare/Accidental
Iceland Gull	Larus glaucoides	mewa polarna	
Black Skimmer	Rynchops niger	brzytwodziób amerykański	Rare/Accidental
White Tern	Gygis alba	atolówka	Rare/Accidental
Brown Noddy	Anous stolidus	rybołówka brunatna	Rare/Accidental
Aleutian Tern	Onychoprion aleuticus	rybitwa aleucka	Rare/Accidental Vulnerable
Sooty Tern	Onychoprion fuscatus	rybitwa czarnogrzbieta	Rare/Accidental
Bridled Tern	Onychoprion anaethetus	rybitwa brunatnogrzbieta	Rare/Accidental
Little Tern	Sternula albifrons	rybitwa białoczelna	
Saunders's Tern	Sternula saundersi	rybitwa malutka	Rare/Accidental
Least Tern	Sternula antillarum	rybitwa mała	Rare/Accidental
Gull-billed Tern	Gelochelidon nilotica	rybitwa krótkodzioba	
Caspian Tern	Hydroprogne caspia	rybitwa wielkodzioba	
Whiskered Tern	Chlidonias hybrida	rybitwa białowąsa	
Black Tern	Chlidonias niger	rybitwa czarna	
White-winged Tern	Chlidonias leucopterus	rybitwa białoskrzydła	
Forster's Tern	Sterna forsteri	rybitwa czarnoucha	Rare/Accidental
Arctic Tern	Sterna paradisaea	rybitwa popielata	
Common Tern	Sterna hirundo	rybitwa rzeczna	
White-cheeked Tern	Sterna repressa	rybitwa arabska	Rare/Accidental
Roseate Tern	Sterna dougallii	rybitwa różowa	
Sandwich Tern	Thalasseus sandvicensis	rybitwa czubata	
Elegant Tern	Thalasseus elegans	rybitwa kalifornijska	Rare/Accidental Near-threatened
Lesser Crested Tern	Thalasseus bengalensis	rybitwa bengalska	Rare/Accidental
West African Crested Tern	Thalasseus albididorsalis	rybitwa jasnogrzbieta	
Royal Tern	Thalasseus maximus	rybitwa królewska	
Chilean Flamingo	Phoenicopterus chilensis	flaming chilijski	Introduced species Near-threatened
American Flamingo	Phoenicopterus ruber	flaming karmazynowy	Rare/Accidental
Greater Flamingo	Phoenicopterus roseus	flaming różowy	
Lesser Flamingo	Phoeniconaias minor	flaming mały	Rare/Accidental Near-threatened
Little Grebe	Tachybaptus ruficollis	perkozek	
Pied-billed Grebe	Podilymbus podiceps	perkoz grubodzioby	Rare/Accidental
Horned Grebe	Podiceps auritus	perkoz rogaty	Vulnerable
Red-necked Grebe	Podiceps grisegena	perkoz rdzawoszyi	
Great Crested Grebe	Podiceps cristatus	perkoz dwuczuby	
Eared Grebe	Podiceps nigricollis	zausznik	
White-tailed Tropicbird	Phaethon lepturus	faeton żółtodzioby	Rare/Accidental
Red-billed Tropicbird	Phaethon aethereus	faeton białosterny	Rare/Accidental
Red-throated Loon	Gavia stellata	nur rdzawoszyi	
Arctic Loon	Gavia arctica	nur czarnoszyi	
Pacific Loon	Gavia pacifica	nur pacyficzny	Rare/Accidental
Common Loon	Gavia immer	lodowiec	
Yellow-billed Loon	Gavia adamsii	nur białodzioby	Near-threatened
Snowy Albatross	Diomedea exulans	albatros wędrowny	Vulnerable
Tristan Albatross	Diomedea dabbenena	albatros atlantycki	Rare/Accidental Critically endangered
Atlantic Yellow-nosed Albatross	Thalassarche chlororhynchos	albatros żółtodzioby	Rare/Accidental Endangered
Black-browed Albatross	Thalassarche melanophris	albatros czarnobrewy	Rare/Accidental
Wilson's Storm-Petrel	Oceanites oceanicus	oceannik żółtopłetwy	
White-faced Storm-Petrel	Pelagodroma marina	oceannik białobrewy	
Black-bellied Storm-Petrel	Fregetta tropica	oceannik czarnobrzuchy	Rare/Accidental
European Storm-Petrel	Hydrobates pelagicus	nawałnik burzowy	
Leach's Storm-Petrel	Hydrobates leucorhous	nawałnik duży	Vulnerable
Swinhoe's Storm-Petrel	Hydrobates monorhis	nawałnik brunatny	Rare/Accidental Near-threatened
Band-rumped Storm-Petrel	Hydrobates castro	nawałnik białorzytny	
Monteiro's Storm-Petrel	Hydrobates monteiroi	nawałnik azorski	Vulnerable
Southern Giant-Petrel	Macronectes giganteus	petrelec olbrzymi	Rare/Accidental
Northern Fulmar	Fulmarus glacialis	fulmar	
Pintado Petrel	Daption capense	warcabnik	Rare/Accidental
Great-winged Petrel	Pterodroma macroptera	petrel długoskrzydły	Rare/Accidental
Kermadec Petrel	Pterodroma neglecta	petrel południowy	Rare/Accidental
Trindade Petrel	Pterodroma arminjoniana	petrel oceaniczny	Vulnerable
Zino's Petrel	Pterodroma madeira	petrel maderski	Endangered
Fea's Petrel	Pterodroma feae	petrel wyspowy	
Soft-plumaged Petrel	Pterodroma mollis	petrel miękkopióry	Rare/Accidental
Barau's Petrel	Pterodroma baraui	petrel wulkaniczny	Rare/Accidental Endangered
Bermuda Petrel	Pterodroma cahow	petrel bermudzki	Rare/Accidental Endangered
Black-capped Petrel	Pterodroma hasitata	petrel antylski	Rare/Accidental Endangered
Atlantic Petrel	Pterodroma incerta	petrel białobrzuchy	Endangered
Bulwer's Petrel	Bulweria bulwerii	tajfunnik cienkodzioby	
White-chinned Petrel	Procellaria aequinoctialis	burzyk białobrody	Rare/Accidental Vulnerable
Cory's Shearwater	Calonectris borealis	burzyk duży	
Scopoli's Shearwater	Calonectris diomedea	burzyk żółtodzioby	
Cape Verde Shearwater	Calonectris edwardsii	burzyk zielonoprzylądkowy	Near-threatened
Flesh-footed Shearwater	Ardenna carneipes	burzyk bladodzioby	Rare/Accidental Near-threatened
Great Shearwater	Ardenna gravis	burzyk wielki	
Buller's Shearwater	Ardenna bulleri	burzyk szarogrzbiety	Rare/Accidental Vulnerable
Sooty Shearwater	Ardenna grisea	burzyk szary	Near-threatened
Short-tailed Shearwater	Ardenna tenuirostris	burzyk cienkodzioby	Rare/Accidental
Manx Shearwater	Puffinus puffinus	burzyk północny	
Yelkouan Shearwater	Puffinus yelkouan	burzyk śródziemnomorski	Vulnerable
Balearic Shearwater	Puffinus mauretanicus	burzyk balearski	Critically endangered
Barolo Shearwater	Puffinus baroli	burzyk malutki	
Boyd's Shearwater	Puffinus boydi	burzyk brązoworzytny	Rare/Accidental
Black Stork	Ciconia nigra	bocian czarny	
White Stork	Ciconia ciconia	bocian biały	
Marabou Stork	Leptoptilos crumenifer	marabut afrykański	
Yellow-billed Stork	Mycteria ibis	dławigad afrykański	
Ascension Frigatebird	Fregata aquila	fregata orla	Rare/Accidental Vulnerable
Magnificent Frigatebird	Fregata magnificens	fregata wielka	Rare/Accidental
Northern Gannet	Morus bassanus	głuptak	
Cape Gannet	Morus capensis	głuptak przylądkowy	Rare/Accidental Endangered
Red-footed Booby	Sula sula	głuptak czerwononogi	Rare/Accidental
Brown Booby	Sula leucogaster	gluptak bialobrzuchy	
Masked Booby	Sula dactylatra	głuptak maskowy	Rare/Accidental
Reed Cormorant	Microcarbo africanus	kormoran etiopski	Rare/Accidental
Pygmy Cormorant	Microcarbo pygmaeus	kormoran mały	
Pallas's Cormorant	Urile perspicillatus	kormoran okularowy	Endemic (country/region) Extinct
Great Cormorant	Phalacrocorax carbo	kormoran	
European Shag	Gulosus aristotelis	kormoran czubaty	
Double-crested Cormorant	Nannopterum auritum	kormoran rogaty	Rare/Accidental
Glossy Ibis	Plegadis falcinellus	ibis kasztanowaty	
African Sacred Ibis	Threskiornis aethiopicus	ibis czczony	Introduced species
Northern Bald Ibis	Geronticus eremita	ibis grzywiasty	Endangered
Eurasian Spoonbill	Platalea leucorodia	warzęcha	
African Spoonbill	Platalea alba	warzęcha czerwonolica	
Great White Pelican	Pelecanus onocrotalus	pelikan różowy	
Pink-backed Pelican	Pelecanus rufescens	pelikan mały	Rare/Accidental
Dalmatian Pelican	Pelecanus crispus	pelikan kędzierzawy	Near-threatened
Eurasian Bittern	Botaurus stellaris	bąk	
American Bittern	Botaurus lentiginosus	bąk amerykański	Rare/Accidental
Least Bittern	Botaurus exilis	bączek amerykański	Rare/Accidental
Schrenck's Bittern	Botaurus eurhythmus	bączek amurski	Rare/Accidental
Dwarf Bittern	Botaurus sturmii	bączek ciemny	Rare/Accidental
Little Bittern	Botaurus minutus	bączek	
Yellow-crowned Night Heron	Nyctanassa violacea	ślepowron żółtoczelny	Rare/Accidental
Black-crowned Night Heron	Nycticorax nycticorax	ślepowron	
Little Blue Heron	Egretta caerulea	czapla śniada	Rare/Accidental
Tricolored Heron	Egretta tricolor	czapla trójbarwna	Rare/Accidental
Black Heron	Egretta ardesiaca	czapla czarna	Rare/Accidental
Snowy Egret	Egretta thula	czapla śnieżna	Rare/Accidental
Little Egret	Egretta garzetta	czapla nadobna	
Western Reef-Heron	Egretta gularis	czapla rafowa	
Striated Heron	Butorides striata	czapla zielonawa	
Green Heron	Butorides virescens	czapla zielona	Rare/Accidental
Squacco Heron	Ardeola ralloides	czapla modronosa	
Indian Pond-Heron	Ardeola grayii	czapla siodłata	Rare/Accidental
Chinese Pond-Heron	Ardeola bacchus	czapla białoskrzydła	Rare/Accidental
Western Cattle-Egret	Ardea ibis	czapla złotawa	
Great Egret	Ardea alba	czapla biała	
Yellow-billed Egret	Ardea brachyrhyncha	czapla żółtogoleniowa	Rare/Accidental
Medium Egret	Ardea intermedia	czapla czarnonoga	Uncertain origin
Gray Heron	Ardea cinerea	czapla siwa	
Great Blue Heron	Ardea herodias	czapla modra	Rare/Accidental
Purple Heron	Ardea purpurea	czapla purpurowa	
Black-headed Heron	Ardea melanocephala	czapla czarnogłowa	
Osprey	Pandion haliaetus	rybołów	
Black-winged Kite	Elanus caeruleus	kaniuk	
Bearded Vulture	Gypaetus barbatus	orłosęp	Near-threatened
Egyptian Vulture	Neophron percnopterus	ścierwnik	Rare/Accidental Endangered
European Honey-buzzard	Pernis apivorus	trzmielojad	
Oriental Honey-buzzard	Pernis ptilorhynchus	trzmielojad czubaty	
Swallow-tailed Kite	Elanoides forficatus	jaskólak	Rare/Accidental
Cinereous Vulture	Aegypius monachus	sęp kasztanowaty	Near-threatened
Lappet-faced Vulture	Torgos tracheliotos	sęp uszaty	Rare/Accidental Endangered
Hooded Vulture	Necrosyrtes monachus	sęp brunatny	Uncertain origin Critically endangered
Himalayan Griffon	Gyps himalayensis	sęp himalajski	Rare/Accidental Near-threatened
White-backed Vulture	Gyps africanus	sęp afrykański	Critically endangered
Rüppell's Griffon	Gyps rueppelli	sęp plamisty	Critically endangered
Eurasian Griffon	Gyps fulvus	sęp płowy	
Bateleur	Terathopius ecaudatus	kuglarz	Rare/Accidental Endangered
Short-toed Snake-Eagle	Circaetus gallicus	gadożer	
Lesser Spotted Eagle	Clanga pomarina	orlik krzykliwy	
Greater Spotted Eagle	Clanga clanga	orlik grubodzioby	Vulnerable
Booted Eagle	Hieraaetus pennatus	orzełek	
Steppe Eagle	Aquila nipalensis	orzeł stepowy	Endangered
Imperial Eagle	Aquila heliaca	orzeł cesarski	Vulnerable
Spanish Eagle	Aquila adalberti	orzeł iberyjski	Vulnerable
Golden Eagle	Aquila chrysaetos	orzeł przedni	
Bonelli's Eagle	Aquila fasciata	orzeł południowy	
Dark Chanting-Goshawk	Melierax metabates	jastrzębiak ciemny	Uncertain origin
Levant Sparrowhawk	Tachyspiza brevipes	krogulec krótkonogi	
Eurasian Sparrowhawk	Accipiter nisus	krogulec	
Eurasian Goshawk	Astur gentilis	jastrząb (zwyczajny)	
American Goshawk	Astur atricapillus	jastrząb czerwonooki	Rare/Accidental
Western Marsh Harrier	Circus aeruginosus	błotniak stawowy	
Hen Harrier	Circus cyaneus	błotniak zbożowy	
Northern Harrier	Circus hudsonius	błotniak amerykański	Rare/Accidental
Pallid Harrier	Circus macrourus	błotniak stepowy	Near-threatened
Montagu's Harrier	Circus pygargus	błotniak łąkowy	
Red Kite	Milvus milvus	kania ruda	
Black Kite	Milvus migrans	kania czarna	
White-tailed Eagle	Haliaeetus albicilla	bielik	
Bald Eagle	Haliaeetus leucocephalus	bielik amerykański	Rare/Accidental
Pallas's Fish-Eagle	Haliaeetus leucoryphus	bielik wschodni	Rare/Accidental Endangered
Steller's Sea-Eagle	Haliaeetus pelagicus	bielik olbrzymi	Uncertain origin Vulnerable
Swainson's Hawk	Buteo swainsoni	myszołów preriowy	Uncertain origin
Rough-legged Hawk	Buteo lagopus	myszołów włochaty	
Common Buzzard	Buteo buteo	myszołów	
Long-legged Buzzard	Buteo rufinus	kurhannik	
Upland Buzzard	Buteo hemilasius	myszołów mongolski	Rare/Accidental
Western Barn Owl	Tyto alba	płomykówka (zwyczajna)	
Eastern Barn Owl	Tyto javanica	płomykówa nadobna	
American Barn Owl	Tyto furcata	płomykówka amerykańska	
Eurasian Scops-Owl	Otus scops	syczek	
Snowy Owl	Bubo scandiacus	sowa śnieżna	Vulnerable
Eurasian Eagle-Owl	Bubo bubo	puchacz	
Northern Hawk Owl	Surnia ulula	sowa jarzębata	
Eurasian Pygmy-Owl	Glaucidium passerinum	sóweczka	
Little Owl	Athene noctua	pójdźka	
Tawny Owl	Strix aluco	puszczyk	
Maghreb Owl	Strix mauritanica	puszczyk maghrebski	
Ural Owl	Strix uralensis	puszczyk uralski	
Great Gray Owl	Strix nebulosa	puszczyk mszarny	
Long-eared Owl	Asio otus	uszatka	
Short-eared Owl	Asio flammeus	uszatka błotna	
Marsh Owl	Asio capensis	uszatka mauretańska	Rare/Accidental
Boreal Owl	Aegolius funereus	włochatka	
Brown Boobook	Ninox scutulata	sowica brunatna	
Northern Boobook	Ninox japonica	sowica północna	
Eurasian Hoopoe	Upupa epops	dudek	
Arabian Green Bee-eater	Merops cyanophrys	żołna niebieskolica	Rare/Accidental
Asian Green Bee-eater	Merops orientalis	żołna wschodnia	Rare/Accidental
Blue-cheeked Bee-eater	Merops persicus	żołna modrolica	Rare/Accidental
European Bee-eater	Merops apiaster	żołna	
Common Kingfisher	Alcedo atthis	zimorodek	
White-throated Kingfisher	Halcyon smyrnensis	łowiec krasnodzioby	Rare/Accidental
Belted Kingfisher	Megaceryle alcyon	rybaczek popielaty	Rare/Accidental
Pied Kingfisher	Ceryle rudis	rybaczek srokaty	Rare/Accidental
European Roller	Coracias garrulus	kraska	
Abyssinian Roller	Coracias abyssinicus	kraska abisyńska	Rare/Accidental
Eurasian Wryneck	Jynx torquilla	krętogłów	
Yellow-bellied Sapsucker	Sphyrapicus varius	oskomik czerwonogardły	Rare/Accidental
Eurasian Three-toed Woodpecker	Picoides tridactylus	dzięcioł trójpalczasty	
Middle Spotted Woodpecker	Dendrocoptes medius	dzięcioł średni	
White-backed Woodpecker	Dendrocopos leucotos	dzięcioł białogrzbiety	
Great Spotted Woodpecker	Dendrocopos major	dzięcioł duży	
Syrian Woodpecker	Dendrocopos syriacus	dzięcioł białoszyi	
Lesser Spotted Woodpecker	Dryobates minor	dzięciołek	
Gray-headed Woodpecker	Picus canus	dzięcioł zielonosiwy	
Eurasian Green Woodpecker	Picus viridis	dzięcioł zielony	
Iberian Green Woodpecker	Picus sharpei	dzięcioł iberyjski	
Black Woodpecker	Dryocopus martius	dzięcioł czarny	
Northern Flicker	Colaptes auratus	dzięcioł różowoszyi	
Lesser Kestrel	Falco naumanni	pustułeczka	
Eurasian Kestrel	Falco tinnunculus	pustułka	
American Kestrel	Falco sparverius	pustułka amerykańska	Rare/Accidental
Red-footed Falcon	Falco vespertinus	kobczyk	Vulnerable
Amur Falcon	Falco amurensis	kobczyk amurski	Rare/Accidental
Eleonora's Falcon	Falco eleonorae	sokół skalny	
Sooty Falcon	Falco concolor	sokół śniady	Rare/Accidental Vulnerable
Merlin	Falco columbarius	drzemlik	
Eurasian Hobby	Falco subbuteo	kobuz	
Lanner Falcon	Falco biarmicus	raróg górski	
Saker Falcon	Falco cherrug	raróg	Endangered
Gyrfalcon	Falco rusticolus	białozór	
Peregrine Falcon	Falco peregrinus	sokół wędrowny	
Rose-ringed Parakeet	Psittacula krameri	aleksandretta obrożna	Introduced species
Monk Parakeet	Myiopsitta monachus	mnicha	Introduced species
Olive-sided Flycatcher	Contopus cooperi	piwik północny	Rare/Accidental Near-threatened
Eastern Wood-Pewee	Contopus virens	piwik leśny	Rare/Accidental
Yellow-bellied Flycatcher	Empidonax flaviventris	empidonka żółtobrzucha	Rare/Accidental
Acadian Flycatcher	Empidonax virescens	empidonka oliwkowa	Rare/Accidental
Alder Flycatcher	Empidonax alnorum	empidonka olchowa	Rare/Accidental
